file,purpose,used_in,exists,size_bytes,modified_time,extension,repo_mentions,source_status
chomCommune.xlsx,Unemployment rates,main.R,TRUE,7532513,2024-02-28T08:39:59Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:169:df <- read_excel(paste0(raw_data_path, ""chomCommune.xlsx""), sheet = ""Sheet1"", col_types = c(codecommune = ""text"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:176:    file.path(raw_data_path, ""chomCommune.xlsx""),",missing_download_source
revenuImposable.csv,Taxable income,main.R,TRUE,8220599,2024-06-15T10:16:24Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:428:df <- read_csv(file.path(raw_data_path, ""revenuImposable.csv""), show_col_types = FALSE) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:500:    file.path(raw_data_path, ""revenuImposable.csv"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:196:    ""taxable income"", ""revenuImposable.csv"", ""codecommune"", ""commune"",",missing_download_source
altitudeAndMore.xlsx,Altitude and surface area,main.R,TRUE,14262016,2024-06-04T08:31:39Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:361:df <- read_excel(file.path(raw_data_path, ""altitudeAndMore.xlsx""))  %>%  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:460:    file.path(raw_data_path, ""altitudeAndMore.xlsx"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:198:    ""altitude/surface"", ""altitudeAndMore.xlsx"", ""codecommune"", ""commune"",",missing_download_source
logVac.xlsx,Vacant housing,main.R,TRUE,2655474,2024-06-04T08:35:52Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:380:df <- read_excel(file.path(raw_data_path, ""logVac.xlsx""), sheet = ""Data"")  %>%  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:483:    file.path(raw_data_path, ""logVac.xlsx""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:197:    ""housing vacancy"", ""logVac.xlsx"", ""codecommune"", ""commune"",",missing_download_source
typoRuralUrbain.xlsx,Rural/urban typology,main.R,TRUE,555129,2024-06-04T08:28:25Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:419:df <- read_excel(file.path(raw_data_path, ""typoRuralUrbain.xlsx"")) %>%  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:515:  typology_data <- read_excel(file.path(raw_data_path, ""typoRuralUrbain.xlsx"")) %>%  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:199:    ""rural-urban typology"", ""typoRuralUrbain.xlsx"", ""codecommune"", ""commune"",",missing_download_source
educProcessed.xlsx,Education levels,main.R,TRUE,15816119,2024-03-05T15:57:09Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:271:df <- read_excel(file.path(raw_data_path, ""educProcessed.xlsx""))  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:379:    file.path(raw_data_path, ""educProcessed.xlsx"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:107:    paste0(""- `educProcessed.xlsx` has duplicate rows for "", education_selected_rows, "" commune codes ("", education_duplicate_rows, "" raw duplicate rows audited). The pipeline now chooses the row with the greatest non-zero education coverage, then breaks ties by matching the `ZRR.csv` commune name.""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:193:    ""education"", ""educProcessed.xlsx"", ""codecommune"", ""commune"",",missing_download_source
dbStock.xlsx,Association/NGO data (JOAFE),main.R,TRUE,13731959,2024-02-24T13:39:27Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:243:df <- read_excel(file.path(raw_data_path, ""dbStock.xlsx"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:352:    file.path(raw_data_path, ""dbStock.xlsx"")",missing_download_source
ZRR.csv,Zone de Revitalisation Rurale,"main.R, dataDes.R, Python files",TRUE,18679713,2024-02-29T13:36:30Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:86:dfZRR_raw  <- read.csv(paste0(raw_data_path,""ZRR.csv"")) || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:100:dfZRR_raw <- read.csv(paste0(raw_data_path,""ZRR.csv"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:797:dfZRR <- merge(dfZRR_raw, read.csv(paste0(raw_data_path,""ZRR.csv"")) %>% mutate(codecommune = sub(""^0+"", """", as.character(codecommune))) %>%  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/defineBordersNotEpicenter1.py:27:    pathZRR = pathRawData + ""ZRR.csv"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/defineBorders_randomZRR.py:20:    'zrr_file': ""ZRR.csv"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/defineBorders.py:27:    pathZRR = pathRawData + ""ZRR.csv"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/config.py:18:    'zrr_file': PROJECT_ROOT / ""DATA"" / ""raw data"" / ""ZRR.csv"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare tables/county_consistency_check.R:21:  zrr_path <- file.path(raw_data_path, ""ZRR.csv"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare tables/county_consistency_check.R:29:  cat(""   ✓ ZRR.csv loaded. Rows:"", nrow(dfZRR_raw), ""\n"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/summarize_commune_merge_sensitivity.R:127:    ""- Rule: prefer the row with greatest non-zero education coverage; if tied, prefer the commune name matching `ZRR.csv`; fail on remaining conflicting ties."", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:184:    ""ZRR"", ""ZRR.csv"", ""codecommune"", ""commune_year"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/dataDes.R:37:    file.path(raw_data_path, ""ZRR.csv""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:107:    paste0(""- `educProcessed.xlsx` has duplicate rows for "", education_selected_rows, "" commune codes ("", education_duplicate_rows, "" raw duplicate rows audited). The pipeline now chooses the row with the greatest non-zero education coverage, then breaks ties by matching the `ZRR.csv` commune name.""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:31:  zrr_source <- read.csv(file.path(raw_data_path, ""ZRR.csv"")) %>%",missing_download_source
communes-20220101.shp,French communes boundaries,Multiple Python files,FALSE,NA,NA,shp,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:332:dfShape <- st_read(paste0(raw_data_path, ""communes-20220101-shp/communes-20220101.shp"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:2094:dfShape <- st_read(file.path(raw_data_path, ""communes-20220101-shp/communes-20220101.shp"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:397:dfShape <- st_read(file.path(raw_data_path, ""communes-20220101-shp/communes-20220101.shp"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/defineBorders_randomZRR.py:18:    'shapefile_dir': ""communes-20220101-shp"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/defineBorders_randomZRR.py:19:    'shapefile_name': ""communes-20220101.shp"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/config.py:17:    'shapefile': PROJECT_ROOT / ""DATA"" / ""raw data"" / ""communes-20220101-shp"" / ""communes-20220101.shp"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare figures/map_dist_running_var_shortest_dist.R:51:  shapefile_name <- ""communes-20220101-shp"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare figures/map_dist_running_var_random.R:49:  shapefile_name <- ""communes-20220101-shp"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare figures/map_FN.R:36:  shapefile_name <- ""communes-20220101-shp"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare figures/map_dist_running_var.R:48:  shapefile_name <- ""communes-20220101-shp"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare figures/map_ZRR.R:34:  shapefile_name = ""communes-20220101-shp"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:200:    ""2022 commune shapefile"", file.path(""communes-20220101-shp"", ""communes-20220101.dbf""), ""insee"", ""commune""",repo_mentions_possible_source
france1999.dbf,1999 administrative divisions,"main.R, eco_outcomes.R",TRUE,9992034,2005-06-15T10:02:00Z,dbf,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:88:df <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:1678:dfCanton <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:4378:dfCanton <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:4613:dfCanton <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:4739:dfCanton <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:5025:dfCanton <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/create_figures_tables.Rmd:5123:dfCanton <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:107:df <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:869:dfCanton <- st_read(paste0(raw_data_path, ""france1999.dbf"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/defineBorders_randomZRR.py:21:    'canton_file': ""france1999.dbf"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare tables/county_consistency_check.R:22:  canton_dbf <- file.path(raw_data_path, ""france1999.dbf"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare tables/county_consistency_check.R:39:  cat(""   ✓ france1999.dbf loaded. Rows:"", nrow(df_canton),  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:185:    ""1999 canton bridge"", ""france1999.dbf"", ""DEP_COM"", ""commune"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:72:  if (file == ""france1999.dbf"") { || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:83:    filter(file == ""france1999.dbf"") %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:105:    paste0(""- `france1999.dbf` contains multiple canton rows for "", split_canton_count, "" commune codes in this checkout. The pipeline therefore no longer assigns those communes to the first sorted canton; it uses commune-specific split cluster IDs and saves the canton list for audit.""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:106:    paste0(""- `france1999.dbf` has missing canton codes for "", missing_canton_count, "" commune codes. The pipeline no longer collapses these into artificial department-level `NA` clusters; it uses commune-specific `missing_canton_<codecommune>` cluster IDs.""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:111:    ""- Locate the original download page or archival source for `france1999.dbf` and identify the official geography/year it represents."", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:112:    ""- Confirm whether multiple rows per commune in `france1999.dbf` are official canton fractions, pseudo-cantons such as `Canton non precise`, or GIS artifacts."", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/document_raw_data_provenance.R:119:    ""- Missing-canton communes are treated as commune-specific clusters until the `france1999.dbf` documentation explains whether missing `CT` represents a non-precise canton, an official category, or a source artifact."",",missing_source_doc_for_canton_bridge
Total: 20 raw data files used,NA,NA,FALSE,NA,NA,,,missing_download_source
